scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
5,1024.5,1,37.05,7,50.01,2,0.01,754.68,594.09,0.01,1498.96,2123.97,535.48,34.55054181562154,41.58405895881947,15077.807184926944,3719.1379954454424,19332.745187178236,5736.1869588454165,100,False,False,False,False
10,1160.4,3,53.49,2,35.67,2,0.01,1108.19,2601.2,0.01,1445.73,2559.84,666.15,77.7866252852041,82.7678027854283,22501.184251472787,7159.1882465721455,19628.698481403626,7577.631789801806,100,False,False,False,False
2,535.45,1,52.75,3,29.65,1,0.01,476.76,618.97,0.01,1068.37,1896.91,429.08,17.17786285428078,20.955910110870935,15990.737913675246,3849.8603249823764,22107.638157946112,5170.698178130746,100,False,False,False,False
8,594.28,2,26.73,8,102.8,2,0.01,791.73,1419.33,0.01,843.5,1088.21,564.0,29.499191827935405,41.69644484591024,16877.764890378006,2657.553779813335,22783.198312780416,4298.488575239777,100,False,False,False,False
0,873.27,5,12.15,3,21.74,1,0.01,1004.36,2318.33,0.01,1418.19,2535.95,243.45,27.529923226256273,30.691319616421346,21271.632162494705,4525.727970190223,19094.52714437985,4996.840757730816,100,False,False,False,False
9,1083.22,8,41.67,3,101.64,2,0.01,1324.1,2793.96,0.01,790.93,1702.06,322.09,143.6417638936396,154.564676055376,18888.278083924622,4075.96954375432,19828.989059878095,5594.0688316086735,100,False,False,False,False
7,862.59,6,50.72,8,43.65,1,0.01,246.63,2549.5,0.01,829.6,1243.64,590.82,80.72319288099337,124.44311604943103,17924.98577578943,2803.017820181075,21622.437410351158,4444.621946442609,100,False,False,False,False
6,784.35,5,29.38,3,59.32,1,0.01,1089.65,1311.51,0.01,394.95,610.36,1311.24,49.8147282001614,51.42627893264974,14332.185568046443,2465.6716634105874,19552.917107983092,3881.931811027632,100,False,False,False,False
17,1060.57,1,39.28,2,58.65,1,0.01,779.49,2020.58,0.01,259.26,1120.18,1001.22,10.136438864838778,21.135785688460984,20538.48873592122,4308.60902255984,26673.189795766306,7037.286436128451,100,False,False,False,False
4,1148.75,8,61.25,5,28.49,1,0.01,1250.4,919.81,0.01,925.37,2753.58,841.21,198.8628523209258,208.1236472579636,16871.731278898787,4483.953579267828,20131.432177555907,7373.836505881541,100,False,False,False,False
14,1047.88,6,46.89,3,110.31,1,0.01,1200.51,2285.11,0.01,961.3,2360.73,320.09,162.3056951041568,169.63600652032486,18953.240439590776,4902.506677528423,18421.477626928652,5478.024496053408,100,False,False,False,False
3,377.08,2,52.07,2,81.13,1,0.01,843.6,882.54,0.01,383.23,1465.9,891.09,21.325346921429105,35.3726838774047,20352.575849511464,4888.900004875642,26041.587016054793,5096.743919002586,100,False,False,False,False
1,760.64,7,17.57,8,119.61,1,0.01,1282.91,1511.18,0.01,274.72,2378.85,918.06,158.03619765876863,184.0465504104479,16056.546929196678,3160.426274432069,18951.179638721125,5313.962233238739,100,False,False,False,False
18,659.38,2,24.74,6,28.69,2,0.01,1051.84,1933.72,0.01,394.23,1270.26,1167.62,14.065311712372779,17.811820603246144,19056.85522514931,3078.372082727702,23591.11801378121,4941.482840168636,100,False,False,False,False
15,923.47,6,28.08,7,24.71,1,0.01,1145.65,1350.3,0.01,1469.68,2449.29,1303.18,71.22396515248576,72.98163751985794,15380.151730920039,3254.722288236597,17034.039757300565,5016.918696217423,100,False,False,False,False
13,1078.32,7,52.58,7,47.45,1,0.01,1013.38,486.63,0.01,1480.85,1201.47,1265.21,193.26588542182498,202.027806542458,21094.80244538037,3397.049826994597,33182.094606953535,6157.9608454048275,100,False,False,False,False
19,678.34,3,24.38,8,26.31,1,0.01,1224.02,1837.52,0.01,1394.6,2818.75,790.02,27.803844095353835,32.58232347038524,17995.374821062123,3367.8158342326233,18943.47155105527,4776.193850442425,100,False,False,False,False
