scenario_id,arrival_rate_mean,res_AML_Investigator_amount,res_AML_Investigator_cost,res_Applicant_amount,res_Applicant_cost,res_Appraiser_amount,res_Appraiser_cost,res_Clerk_amount,res_Clerk_cost,res_Loan_Officer_amount,res_Loan_Officer_cost,res_Senior_Officer_amount,res_Senior_Officer_cost,el_node_fb6142cf-431e-49a2-8278-0ab153e033d9_duration,el_node_72f9366b-1a12-44b3-9d62-12151a3c986b_duration,el_node_b7b69815-2300-45c0-b795-b10641e4997f_duration,el_node_e96c5ddd-ce95-4d1c-b20e-4236a5ede724_duration,el_node_4aac3e09-f63b-4091-b1dc-382ae5799d24_duration,el_node_ec71f837-04b3-439c-8f5b-6c03f40ba4a9_duration,el_node_3fd5220c-2503-4b5d-a543-78dbeee830c9_duration,el_node_2dee630f-fe8e-4719-8b0b-546b1310b27d_duration,el_node_4eb5f5ad-92ef-41f7-9814-f2df60a90301_duration,el_node_a9e6f8b0-d94c-42cc-ab3f-ed02e0faa62e_duration,el_node_a265a23b-82f9-446b-8167-ad6c1655e313_duration,el_node_74bde187-ed90-4355-a7b0-2229bd9210e2_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
10004,3166.39,2,27.3,1,23.25,5,18.03,8,23.26,8,28.16,3,41.32,147.96,3278.47,2231.34,1874.32,523.92,165.46,269.03,3559.68,883.16,561.76,831.88,1690.07,19.26205128205128,0.33455531748701806,72839.15915041919,3874.4955591302,68926.50207810024,4212.067001349685,39,True,True,True,True
10007,3122.92,4,24.23,1,41.39,2,39.77,10,17.34,10,34.9,1,47.88,178.89,3839.41,1440.3,751.26,358.65,91.41,133.54,3082.46,561.23,478.84,837.58,371.19,18.79357142857143,0.36678667851009433,60518.9714530354,3631.4060265641137,56562.601454352945,4207.914093572463,56,True,True,True,True
10015,2204.67,5,17.14,1,22.03,1,20.1,3,25.98,6,29.91,5,16.95,75.34,2900.12,6326.29,1172.33,147.99,125.95,628.16,1741.2,802.8,407.37,677.43,1889.93,17.190900000000003,0.4790438604157456,156683.6078697377,18447.632206822957,151383.82731790197,19474.033454823384,100,False,False,True,False
10003,2758.04,3,49.92,2,18.33,1,21.1,13,22.87,2,25.36,2,17.78,171.74,3119.06,6512.51,423.18,600.7,97.52,703.71,2540.32,683.44,844.63,1277.34,2129.79,17.270799999999998,0.3437366856925648,57614.613550086346,6227.017219567795,49323.83063339002,6263.023550811572,100,False,False,True,False
10001,2829.98,1,22.22,2,23.27,2,19.55,8,9.19,10,35.47,5,40.98,351.57,4035.87,5453.35,324.47,318.23,277.84,376.16,1236.41,773.58,252.35,991.27,1935.57,17.8194,0.45457010438212925,61610.35905674379,5572.614503032501,57068.8764661031,5859.663702925119,100,False,False,True,True
10002,2615.0,1,31.08,1,8.34,1,45.26,14,22.15,2,40.98,2,36.94,347.21,4412.32,5366.47,781.71,454.21,123.78,331.25,2599.6,1377.98,261.95,1548.2,664.99,13.847799999999998,0.2689319691676763,64884.147280053265,10793.341484990224,64057.649338148076,13661.83946109514,100,False,False,True,False
10000,2295.06,3,32.12,1,17.07,3,41.03,6,25.09,10,39.92,3,17.28,155.71,1846.86,3638.38,868.35,455.39,68.11,302.72,2166.46,717.4,277.82,1624.03,1616.9,31.76290000000001,0.6868318350928193,95486.87482401129,8276.603409808347,95718.83234264323,9853.027860098002,100,False,False,True,True
10008,2456.26,1,34.7,1,44.12,5,30.36,19,18.71,2,16.5,3,33.12,66.89,3194.88,7398.54,1651.07,456.42,182.91,670.59,3194.75,801.69,565.21,1582.58,2232.12,18.8102,0.2962423932450513,64366.26786126968,6761.183570842519,56323.43156977117,6745.406519538787,100,False,False,True,False
10013,2098.1,3,35.92,2,28.65,2,32.33,9,13.5,6,40.34,1,12.07,73.23,4546.96,4913.28,1339.82,493.63,202.24,749.06,2598.27,1194.63,232.98,1337.23,1087.74,21.427457627118645,0.34593996499462054,78678.45632705439,5958.487300878863,81155.32397340317,6218.2892323023025,59,True,True,True,True
10011,2247.81,4,20.75,2,17.11,4,37.52,12,47.57,8,16.11,1,40.07,262.39,1142.7,2123.04,662.64,629.86,234.32,208.39,4450.15,1164.83,260.85,1127.02,1877.71,28.523478260869563,0.32038958861212813,86380.83412886859,6648.663381605726,80946.48222859176,6645.371586940383,69,True,True,True,True
10009,2310.32,2,33.36,2,26.37,2,26.63,16,37.09,5,17.17,1,25.14,136.39,1042.61,2501.7,1817.11,121.63,147.55,513.62,1814.73,1445.88,355.83,488.4,1425.28,29.3745,0.7760563019771077,87221.28771716327,9867.964749777413,87107.44922620652,10081.346716833339,100,False,False,True,False
10017,2520.75,5,34.08,1,21.66,2,24.2,8,20.42,9,47.33,3,18.23,189.13,3821.37,2137.89,870.09,593.69,236.67,527.68,3792.23,1339.47,170.52,1803.99,1930.64,20.774444444444445,0.31578258025551625,78340.82041192087,5362.670461060391,74632.65088448703,5844.968925657139,63,True,True,True,True
10019,2710.83,2,18.32,2,13.32,5,20.8,16,45.9,7,22.16,5,17.77,85.3,1998.44,7183.28,1414.14,446.66,84.95,483.03,3927.32,1390.62,228.04,1391.05,932.99,20.805245901639342,0.304519329202472,69770.3350580254,4815.351651568929,64226.333248343064,4958.029367897192,61,True,True,True,True
10026,3386.31,3,44.05,1,30.72,3,8.42,15,29.64,3,21.81,5,17.1,178.8,2916.19,8416.66,1658.69,282.82,99.54,131.35,4420.4,1438.92,559.46,1510.75,2062.48,18.738333333333333,0.331600958084109,86858.27630971106,4621.946860239015,84032.10075383776,4496.393635484676,30,True,True,True,True
10022,2836.54,2,39.75,2,16.48,5,44.36,3,46.87,8,9.84,1,34.32,169.94,2549.69,6552.85,1677.13,640.23,122.65,490.24,3008.59,1272.65,510.3,638.15,1691.21,16.361600000000003,0.4457106911461965,191859.12130666766,23883.363903494628,190664.25153368094,24600.342618290575,100,False,False,True,False
10023,2680.56,4,39.62,2,41.78,1,46.99,15,47.99,6,18.84,5,17.74,134.22,2801.58,2578.95,1717.12,238.56,100.41,198.81,1276.7,1068.99,278.74,1782.37,379.8,19.0827,0.3912602146341428,53001.81340275737,4357.371373010344,47463.79218166286,4799.472992166037,100,False,False,True,True
10025,2575.03,2,41.43,2,33.46,1,33.86,7,9.78,4,15.38,2,22.6,208.67,3625.17,5513.84,1362.52,163.16,276.68,686.61,1929.89,887.49,320.12,927.08,2293.35,16.7907,0.356799055010752,64781.30712358703,7252.592210511645,58834.44690680241,7681.983975059361,100,False,False,True,False
10018,2091.26,5,23.96,1,34.33,1,48.79,20,10.67,4,46.13,4,14.08,79.75,2156.98,5777.07,1591.02,150.69,238.67,248.21,1261.66,730.21,189.04,1280.35,502.0,23.905499999999996,0.4199912817757969,51511.309068161034,5137.399736050257,45818.112785804115,5186.36383225928,100,False,False,True,True
