scenario_id,arrival_rate_mean,res_AML_Investigator_amount,res_AML_Investigator_cost,res_Applicant_amount,res_Applicant_cost,res_Appraiser_amount,res_Appraiser_cost,res_Clerk_amount,res_Clerk_cost,res_Loan_Officer_amount,res_Loan_Officer_cost,res_Senior_Officer_amount,res_Senior_Officer_cost,el_node_fb6142cf-431e-49a2-8278-0ab153e033d9_duration,el_node_72f9366b-1a12-44b3-9d62-12151a3c986b_duration,el_node_b7b69815-2300-45c0-b795-b10641e4997f_duration,el_node_e96c5ddd-ce95-4d1c-b20e-4236a5ede724_duration,el_node_4aac3e09-f63b-4091-b1dc-382ae5799d24_duration,el_node_ec71f837-04b3-439c-8f5b-6c03f40ba4a9_duration,el_node_3fd5220c-2503-4b5d-a543-78dbeee830c9_duration,el_node_2dee630f-fe8e-4719-8b0b-546b1310b27d_duration,el_node_4eb5f5ad-92ef-41f7-9814-f2df60a90301_duration,el_node_a9e6f8b0-d94c-42cc-ab3f-ed02e0faa62e_duration,el_node_a265a23b-82f9-446b-8167-ad6c1655e313_duration,el_node_74bde187-ed90-4355-a7b0-2229bd9210e2_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
9,3249.67,5,33.33,1,40.66,4,46.45,15,44.14,8,9.12,5,26.36,212.76,749.91,8873.76,832.15,270.44,113.56,742.28,4120.33,1160.65,933.18,1070.14,1289.57,25.175,0.2692808239777984,115080.45373386564,6371.261144967278,108438.4823313396,6488.1482061407105,38,True,True,True,True
4,3446.25,5,49.0,2,11.4,3,23.81,13,41.68,7,44.61,1,30.85,344.2,2374.66,8880.2,1906.42,203.34,216.22,539.36,2642.41,892.04,452.81,1360.21,2179.98,23.28925925925926,0.294111080618934,110578.95480378879,7246.267674086013,109644.2864174472,7963.337173122165,54,True,True,True,True
10,3481.2,2,42.79,1,14.27,5,13.71,12,36.94,5,25.87,5,48.19,319.98,2930.17,7692.91,551.61,182.16,100.61,312.98,2719.06,610.76,439.26,658.38,2046.41,19.955945945945945,0.45653225041421885,74996.88374775065,5999.686962991975,70872.01296618939,6099.658521348861,74,True,True,True,True
7,2587.76,4,40.58,2,17.46,1,44.69,8,8.22,6,41.48,5,27.65,155.46,1703.05,5254.38,1950.1,448.83,98.0,505.9,868.17,848.11,686.83,1312.08,390.36,22.47078431372549,0.6179509467174717,69739.13346123877,4561.330311407731,64383.50380895989,4520.333077412587,51,True,True,True,True
13,3234.95,5,42.06,2,18.98,1,47.75,4,33.78,9,46.24,1,49.36,150.18,1043.54,7621.84,1164.54,554.78,105.96,736.91,3560.97,284.91,970.1,789.48,1761.62,22.753399999999996,0.9125491214120471,113107.52967309646,14586.133965007104,110740.00153059763,16958.666569477977,100,False,False,True,False
6,2353.04,3,23.5,1,23.73,3,34.58,20,36.32,8,36.56,2,13.16,76.29,762.42,7692.14,392.26,574.58,197.53,237.39,3646.64,384.04,276.62,1483.84,1174.4,26.42666666666667,0.4119592415114229,72191.00907977547,3494.2107106040685,65584.30541527532,3660.8936397969596,33,True,True,True,True
5,3073.51,1,29.64,2,20.0,5,24.1,3,25.16,3,10.05,1,49.97,265.5,2391.68,8226.44,958.43,478.94,180.18,674.18,3338.44,539.58,890.41,1714.14,1339.04,16.269799999999996,0.3145302092411038,89739.92938349351,8615.702298851593,81515.09925600862,8696.208200190385,100,False,False,True,True
14,3143.65,4,37.52,1,44.12,2,31.03,14,40.02,2,27.62,4,32.04,295.09,3202.12,4454.62,689.29,641.64,157.77,467.38,3296.63,444.63,292.19,2132.0,2253.94,19.806065573770493,0.3657698670317379,75399.62833847372,5102.245180183606,69839.96401830873,5415.6270392122115,61,True,True,True,True
17,3181.7,1,31.43,1,23.46,1,24.2,6,25.98,7,38.93,4,8.64,140.02,1048.62,7732.54,1246.41,109.03,85.83,477.21,4262.03,764.11,459.84,1029.45,1459.48,13.962199999999998,0.3702158256689705,71131.3576299559,9558.619136973013,65841.59992886701,10184.52840938763,100,False,False,True,False
21,3009.02,2,37.81,2,11.74,2,49.19,14,25.78,10,48.25,1,36.39,122.12,4524.74,7895.18,677.7,632.18,152.6,397.39,1730.27,1229.18,520.06,1861.43,1764.42,17.71457142857143,0.3829620850582111,76381.53214600147,5924.039874385461,72503.7681279105,6073.694579936544,70,True,True,True,True
1,2281.92,4,14.05,2,47.84,2,25.78,8,42.76,4,31.08,3,9.16,297.36,1989.33,3732.15,533.6,217.57,227.21,425.67,4422.81,944.99,294.21,1348.72,1570.87,25.02264705882353,0.44350059836336525,72177.37221871162,4048.2602817938714,70489.52407926728,3809.7545670264763,34,True,True,True,True
15,2770.41,4,22.47,2,9.88,3,14.14,13,38.19,6,27.19,2,48.99,306.16,2851.21,1578.54,954.08,400.35,125.94,414.42,3664.91,712.91,367.86,857.1,513.01,25.12304347826087,0.495317201836139,73866.89747215113,5275.580030796078,76299.5001755483,6349.083256956629,69,True,True,True,True
16,2430.68,5,11.95,1,22.62,1,8.91,14,44.73,2,9.86,5,41.7,118.21,1321.14,8687.27,1403.86,323.31,276.79,473.48,1263.75,1239.7,728.8,509.67,1668.31,24.643499999999996,0.8707019982157901,63217.93930235315,5725.785705366213,59306.8258828105,6035.802311264021,100,False,False,True,True
28,3199.95,2,40.16,2,9.35,1,21.84,3,44.79,4,30.37,5,40.98,163.74,3851.7,8717.09,605.06,448.8,81.9,259.76,1059.74,864.01,972.19,2082.36,533.13,15.2546,0.3243810578734071,88645.74290868196,9129.653825101654,81416.89580481846,9688.499238167502,100,False,False,True,False
24,1791.73,4,32.14,1,29.27,3,31.93,13,44.71,5,39.18,1,42.46,284.33,4334.35,7510.23,380.82,314.12,201.19,570.96,939.19,1192.73,549.61,2110.01,960.93,29.171333333333337,0.28778264467252496,74796.81681675278,3345.1167730651587,70364.22857860652,3715.5535956444505,30,True,True,True,True
31,3338.56,3,36.25,1,27.85,2,9.67,15,10.15,8,49.1,1,20.69,245.94,3424.72,4648.4,781.59,115.87,262.6,520.31,3269.44,992.09,740.12,1994.16,991.86,17.86115942028986,0.3406763870332253,73647.06674554262,5656.752431772463,71623.12925057698,5910.5572042965305,69,True,True,True,True
0,2619.8,3,9.72,1,8.69,1,46.34,17,33.48,10,30.83,4,47.27,316.99,4007.2,6956.2,1732.53,270.73,52.84,542.49,3093.54,1533.9,734.02,1677.78,628.32,15.9541,0.22597530480970346,65073.29594969324,7596.163687395521,59959.02192164123,9105.806979820825,100,False,False,True,False
26,2227.32,3,10.84,1,37.94,4,31.03,17,34.64,8,31.28,1,15.38,219.57,4408.78,2969.85,1218.21,291.41,104.04,579.25,4380.79,1152.72,673.93,1243.6,492.79,23.23818181818182,0.32580145934156113,71308.39718118469,3764.79908672883,70094.81995549877,3881.108127201594,33,True,True,True,True
23,2773.62,3,13.4,2,12.78,1,43.85,14,16.47,3,38.1,2,27.77,190.79,972.58,3718.99,1201.61,450.25,50.4,461.5,4335.95,1315.79,683.04,1980.43,1592.52,20.768958333333334,0.6286853102294069,81572.07218549673,7135.092033052907,77507.27495942316,7587.8401051064175,96,True,True,True,True
20,1656.21,2,13.11,1,29.95,2,11.01,10,12.16,7,37.15,5,26.84,261.66,1882.8,1837.55,1650.52,287.49,159.01,467.16,3427.74,849.68,929.12,639.94,867.88,25.751590909090908,0.38543206309837624,72221.93375044648,4704.214962073924,74598.33706517471,4704.853500477797,44,True,True,True,True
