scenario_id,arrival_rate_mean,res_AML_Investigator_amount,res_AML_Investigator_cost,res_Applicant_amount,res_Applicant_cost,res_Appraiser_amount,res_Appraiser_cost,res_Clerk_amount,res_Clerk_cost,res_Loan_Officer_amount,res_Loan_Officer_cost,res_Senior_Officer_amount,res_Senior_Officer_cost,el_node_fb6142cf-431e-49a2-8278-0ab153e033d9_duration,el_node_72f9366b-1a12-44b3-9d62-12151a3c986b_duration,el_node_b7b69815-2300-45c0-b795-b10641e4997f_duration,el_node_e96c5ddd-ce95-4d1c-b20e-4236a5ede724_duration,el_node_4aac3e09-f63b-4091-b1dc-382ae5799d24_duration,el_node_ec71f837-04b3-439c-8f5b-6c03f40ba4a9_duration,el_node_3fd5220c-2503-4b5d-a543-78dbeee830c9_duration,el_node_2dee630f-fe8e-4719-8b0b-546b1310b27d_duration,el_node_4eb5f5ad-92ef-41f7-9814-f2df60a90301_duration,el_node_a9e6f8b0-d94c-42cc-ab3f-ed02e0faa62e_duration,el_node_a265a23b-82f9-446b-8167-ad6c1655e313_duration,el_node_74bde187-ed90-4355-a7b0-2229bd9210e2_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
0,10479.19,7,9.72,48,8.69,3,46.34,17,33.48,10,30.83,4,47.27,316.99,4007.2,6956.2,1732.53,270.73,52.84,542.49,3093.54,1533.9,734.02,1677.78,628.32,88617.32526676245,37551.48958934053,33242.07995162294,10,True,True,True,True
1,9127.67,10,14.05,120,47.84,4,25.78,8,42.76,4,31.08,3,9.16,297.36,1989.33,3732.15,533.6,217.57,227.21,425.67,4422.81,944.99,294.21,1348.72,1570.87,63464.02645219981,27672.41390313201,22343.40901726853,8,True,True,True,True
2,6425.41,3,42.2,51,11.86,5,38.6,13,15.89,9,19.55,1,35.61,237.11,2382.82,4636.25,1903.95,321.49,129.55,681.46,1952.5,854.18,249.43,749.02,1679.57,95273.60154224488,36475.80128691335,34717.67046823118,20,True,True,True,True
4,13785.01,11,49.0,74,11.4,6,23.81,13,41.68,7,44.61,1,30.85,344.2,2374.66,8880.2,1906.42,203.34,216.22,539.36,2642.41,892.04,452.81,1360.21,2179.98,69546.07333582322,29956.14226458475,24302.81629900357,16,True,True,True,True
5,12294.03,2,29.64,105,20.0,12,24.1,3,25.16,3,10.05,1,49.97,265.5,2391.68,8226.44,958.43,478.94,180.18,674.18,3338.44,539.58,890.41,1714.14,1339.04,50150.090976635394,38109.26405355215,33056.67433810254,11,True,True,True,True
6,9412.17,7,23.5,56,23.73,6,34.58,20,36.32,8,36.56,2,13.16,76.29,762.42,7692.14,392.26,574.58,197.53,237.39,3646.64,384.04,276.62,1483.84,1174.4,55564.49728539883,26361.88882406084,20648.453570078455,6,True,True,True,True
7,10351.03,9,40.58,115,17.46,2,44.69,8,8.22,6,41.48,5,27.65,155.46,1703.05,5254.38,1950.1,448.83,98.0,505.9,868.17,848.11,686.83,1312.08,390.36,47339.92691863279,26139.09614283201,22425.33451939569,15,True,True,True,True
8,7131.3,4,21.39,124,41.12,9,24.43,18,26.39,5,12.49,2,28.12,136.03,1434.83,7592.54,734.01,438.94,266.09,353.97,795.62,755.71,676.36,1522.93,626.18,51891.35999012401,24464.67503061089,20322.31909741864,5,True,True,True,True
9,12998.69,12,33.33,50,40.66,9,46.45,15,44.14,8,9.12,5,26.36,212.76,749.91,8873.76,832.15,270.44,113.56,742.28,4120.33,1160.65,933.18,1070.14,1289.57,59635.41841922038,27814.986558448432,21290.58072659097,9,True,True,True,True
10,13924.82,4,42.79,42,14.27,11,13.71,12,36.94,5,25.87,5,48.19,319.98,2930.17,7692.91,551.61,182.16,100.61,312.98,2719.06,610.76,439.26,658.38,2046.41,47792.66286826195,25892.17116129534,20568.92501161655,8,True,True,True,True
