scenario_id,arrival_rate_mean,res_Pharmacist_amount,res_Pharmacist_cost,res_Technician_amount,res_Technician_cost,res_Pharmacy_Information_System_amount,res_Pharmacy_Information_System_cost,el_sid-532DCBA6-2EA6-435D-AA1E-8B5115299C25_duration,el_sid-582150C6-EBEA-4A55-8E1D-7F0CA0B8CA54_duration,el_sid-2A37B8CB-663C-4265-839A-282F772E84CD_duration,el_sid-E0879ACC-9536-498C-BA79-DA8902BE9B34_duration,el_sid-4AE2ED27-9C67-481A-9168-772F2443AC40_duration,el_sid-C12EBC64-C7FC-447C-B752-63144C613AE3_duration,el_sid-5C5825C2-B65C-45BE-A3ED-994F57BB36F6_duration,el_sid-6476CFCF-4619-47E1-AAB6-E759EBBCFA19_duration,el_sid-4C7E683B-8A7A-4FC5-9BFE-7E06CB00DD9A_duration,el_sid-B3B7EE72-DC71-4E7F-8294-7D1D0931D128_duration,el_sid-A8BB4918-B634-4771-B746-709A2319BB3A_duration,el_sid-8B110648-DDB2-4073-B0E5-58F8A11C3BC1_duration,el_sid-780ADF48-2A4E-474C-949B-400E8E093FAB_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
5,16904.29,2,66.7,7,30.01,2,12.05,75.47,7.54,24.98,107.1,394.02,548.43,367.21,43.06,15.83,9.7,32.09,8017.87,136.83,35757.95548974025,370.9061423859226,23830.500557813215,317.84643016161715,17688.307232991938,254.97365452478462,5,True,True,True,True
4,18954.38,11,110.26,5,17.09,1,11.91,125.04,33.46,15.42,168.24,391.21,592.01,730.43,70.53,50.36,23.8,40.81,5171.77,144.78,19105.22877727647,133.15414426404928,22040.975405883582,194.2392705091598,17812.485207795573,214.99221638449504,5,True,True,True,True
15,15237.24,9,50.55,7,14.82,1,7.07,114.57,20.4,24.49,260.64,469.72,105.24,365.55,26.6,71.52,23.08,145.88,7362.16,98.06,23539.937319085693,342.01007525795114,23673.35612659822,146.96418694588857,17966.386314213498,106.10949288378008,5,True,True,True,True
14,17290.1,9,84.41,3,66.19,1,15.52,120.05,20.72,16.02,64.02,527.53,296.97,264.09,52.96,30.82,22.72,77.1,1673.0,133.79,24894.527151415336,441.1001760700997,18613.592313847836,263.77189513300937,17206.791207366852,247.495587155245,7,True,True,True,True
8,9805.54,4,48.12,8,61.68,2,12.21,79.17,9.37,14.06,112.8,236.38,506.17,281.23,49.23,52.75,7.15,59.86,2812.55,73.56,50668.407796800195,225.00488911644405,19432.208387647126,202.53080357099967,17176.068927699587,213.49834777605207,5,True,True,True,True
10,19146.63,4,96.29,2,21.4,2,6.85,110.82,19.4,24.1,133.23,482.73,512.86,211.35,58.97,69.11,21.92,146.2,3877.91,100.34,18823.10818425696,326.14064931299976,22273.885261423144,215.6905398952883,19952.379177134368,253.61169804342367,6,True,True,True,True
7,14232.67,9,91.3,8,26.19,1,22.34,24.66,31.11,13.83,118.16,280.57,350.29,747.17,61.94,74.3,7.36,29.54,5332.56,139.56,34062.83554858886,452.2663484545863,21735.284630003076,246.7635798180572,17310.048329073998,271.6187359063142,6,True,True,True,True
1,12550.55,10,31.62,8,71.76,1,12.89,128.29,23.31,4.58,183.61,327.73,248.81,204.45,37.4,28.53,9.89,147.57,6919.41,58.89,87778.89303808597,902.2696852161008,23069.7195464345,229.4910358831654,17861.29638852544,235.0974835691737,5,True,True,True,True
0,14408.88,7,21.87,3,13.04,1,23.17,100.44,23.12,23.64,48.69,660.16,463.75,663.8,46.11,38.63,6.61,105.55,4340.6,147.59,18530.119041460206,116.42200063473496,23312.611342193257,158.10670095669855,20508.18755888004,131.86860626695687,5,True,True,True,True
19,11192.63,5,43.88,8,15.78,1,19.08,122.4,15.82,23.24,158.0,378.11,455.66,392.77,39.84,69.83,5.88,81.92,5517.81,144.23,29595.95603898284,358.5667117894762,22243.4723008355,262.5579270912143,17975.791258980753,206.78895534159682,5,True,True,True,True
23,15254.91,6,30.16,6,19.16,1,21.92,49.42,28.57,13.88,135.99,160.23,247.93,460.39,55.07,58.79,17.74,131.27,1536.94,55.92,11838.627508286314,213.44630789727137,18486.803550745302,265.9589470326989,16841.00004524948,260.0565580905096,6,True,True,True,True
28,17599.73,4,90.36,8,14.03,1,10.92,134.38,22.78,20.49,254.16,634.55,581.14,231.82,44.74,13.06,11.23,99.99,6995.27,61.02,23465.39535508101,374.3024715781775,22602.768300273754,198.91285878875945,17060.52385599212,96.67525172848939,5,True,True,True,True
21,16549.6,6,85.08,5,17.61,1,24.6,77.35,36.19,18.2,217.36,745.43,526.35,259.66,23.64,33.45,17.78,24.03,5010.1,100.4,20102.502243147577,342.5803293458558,21740.200183594316,504.143739231126,17941.43518927126,496.1028156237394,10,True,True,True,True
18,10879.69,4,44.54,6,17.21,2,15.84,105.18,20.97,6.57,233.52,691.66,573.95,584.96,54.37,52.17,17.15,24.93,2427.57,93.39,23578.83065303803,493.0436307006171,20031.883455444433,284.560117108967,17790.258259690203,283.7869106094648,8,True,True,True,True
