scenario_id,arrival_rate_mean,res_Pharmacist_amount,res_Pharmacist_cost,res_Technician_amount,res_Technician_cost,res_Pharmacy_Information_System_amount,res_Pharmacy_Information_System_cost,el_sid-532DCBA6-2EA6-435D-AA1E-8B5115299C25_duration,el_sid-582150C6-EBEA-4A55-8E1D-7F0CA0B8CA54_duration,el_sid-2A37B8CB-663C-4265-839A-282F772E84CD_duration,el_sid-E0879ACC-9536-498C-BA79-DA8902BE9B34_duration,el_sid-4AE2ED27-9C67-481A-9168-772F2443AC40_duration,el_sid-C12EBC64-C7FC-447C-B752-63144C613AE3_duration,el_sid-5C5825C2-B65C-45BE-A3ED-994F57BB36F6_duration,el_sid-6476CFCF-4619-47E1-AAB6-E759EBBCFA19_duration,el_sid-4C7E683B-8A7A-4FC5-9BFE-7E06CB00DD9A_duration,el_sid-B3B7EE72-DC71-4E7F-8294-7D1D0931D128_duration,el_sid-A8BB4918-B634-4771-B746-709A2319BB3A_duration,el_sid-8B110648-DDB2-4073-B0E5-58F8A11C3BC1_duration,el_sid-780ADF48-2A4E-474C-949B-400E8E093FAB_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
14,17290.1,9,84.41,3,66.19,1,15.52,120.05,20.72,16.02,64.02,527.53,296.97,264.09,52.96,30.82,22.72,77.1,1673.0,133.79,25399.337292455595,363.6992482871073,18953.27215355816,227.86912347133023,57923.990074915906,307.9737824622055,5,True,True,True,True
10,19146.63,4,96.29,2,21.4,2,6.85,110.82,19.4,24.1,133.23,482.73,512.86,211.35,58.97,69.11,21.92,146.2,3877.91,100.34,18468.537530117854,193.9316282549924,22406.289958685586,296.73470276932346,60504.82574972033,958.8973860656034,5,True,True,True,True
21,16549.6,6,85.08,5,17.61,1,24.6,77.35,36.19,18.2,217.36,745.43,526.35,259.66,23.64,33.45,17.78,24.03,5010.1,100.4,19951.294997739828,219.56846033563642,21723.485564210132,270.0443661481723,58277.18141690944,671.2400679124607,5,True,True,True,True
4,18954.38,11,110.26,5,17.09,1,11.91,125.04,33.46,15.42,168.24,391.21,592.01,730.43,70.53,50.36,23.8,40.81,5171.77,144.78,19085.73879700529,317.5343123733806,21994.54872817629,169.3423449248113,58340.709469135465,985.3838835304837,6,True,True,True,True
15,15237.24,9,50.55,7,14.82,1,7.07,114.57,20.4,24.49,260.64,469.72,105.24,365.55,26.6,71.52,23.08,145.88,7362.16,98.06,23535.82939419849,248.38310905202647,23528.847807463895,187.8814120819881,58259.43187477181,216.8460345010172,5,True,True,True,True
8,9805.54,4,48.12,8,61.68,2,12.21,79.17,9.37,14.06,112.8,236.38,506.17,281.23,49.23,52.75,7.15,59.86,2812.55,73.56,50860.15470168117,459.8677311687429,19603.87464781872,158.2770640048982,58154.48820810941,798.8378660631379,5,True,True,True,True
5,16904.29,2,66.7,7,30.01,2,12.05,75.47,7.54,24.98,107.1,394.02,548.43,367.21,43.06,15.83,9.7,32.09,8017.87,136.83,35691.389788472196,709.5499725803585,23949.005319379117,501.39621991201494,58151.08820629025,846.6494348217708,8,True,True,True,True
0,14408.88,7,21.87,3,13.04,1,23.17,100.44,23.12,23.64,48.69,660.16,463.75,663.8,46.11,38.63,6.61,105.55,4340.6,147.59,18442.35032203515,240.44122898018537,23024.517540930792,254.43707332703067,60781.822119980396,406.58605136437416,5,True,True,True,True
1,12550.55,10,31.62,8,71.76,1,12.89,128.29,23.31,4.58,183.61,327.73,248.81,204.45,37.4,28.53,9.89,147.57,6919.41,58.89,88269.36504107623,1128.763959889784,22823.76295581647,301.8505878156896,58317.40734634645,319.0578451807059,5,True,True,True,True
7,14232.67,9,91.3,8,26.19,1,22.34,24.66,31.11,13.83,118.16,280.57,350.29,747.17,61.94,74.3,7.36,29.54,5332.56,139.56,33429.41677463323,574.2313339738963,21862.96984421299,294.8302570467028,58268.05392822606,375.85800213256186,6,True,True,True,True
18,10879.69,4,44.54,6,17.21,2,15.84,105.18,20.97,6.57,233.52,691.66,573.95,584.96,54.37,52.17,17.15,24.93,2427.57,93.39,23608.444815782088,321.6819263314823,19863.433179955056,342.87268689176744,58176.122767325905,618.5097374275592,6,True,True,True,True
13,17792.24,11,94.64,7,28.47,1,23.88,101.34,34.68,24.68,253.04,171.92,508.12,446.18,19.37,43.37,20.31,91.83,8945.27,99.47,37283.61228507111,610.1181992919769,24949.536106038675,337.4089341642364,58388.061327285846,1159.184091194488,7,True,True,True,True
23,15254.91,6,30.16,6,19.16,1,21.92,49.42,28.57,13.88,135.99,160.23,247.93,460.39,55.07,58.79,17.74,131.27,1536.94,55.92,11797.653019341335,153.96596359207575,18424.356749027527,408.06583344736254,57275.85845740134,578.8286446108268,8,True,True,True,True
28,17599.73,4,90.36,8,14.03,1,10.92,134.38,22.78,20.49,254.16,634.55,581.14,231.82,44.74,13.06,11.23,99.99,6995.27,61.02,23424.934483659097,339.35365098663397,22710.946650303093,470.9697717516418,57632.94553563346,712.5379640806689,8,True,True,True,True
19,11192.63,5,43.88,8,15.78,1,19.08,122.4,15.82,23.24,158.0,378.11,455.66,392.77,39.84,69.83,5.88,81.92,5517.81,144.23,29544.496085821796,260.14193889353726,22030.93555974351,433.20477234944644,58290.99574085084,792.7197156705159,7,True,True,True,True
16,13368.72,11,26.89,4,33.93,1,4.45,134.2,7.4,20.85,223.3,217.65,579.15,537.88,22.31,29.51,10.29,75.33,4348.65,76.11,36596.03655263287,689.5441033632248,22309.00112282241,450.9164616599724,59505.711193547715,694.5710075746216,7,True,True,True,True
9,17873.2,12,75.0,3,60.98,2,23.22,132.41,6.84,13.18,64.42,123.54,591.58,318.83,56.44,58.67,20.43,148.27,8340.84,93.87,67489.48336550864,1180.3689990870091,29541.29207185728,630.8305046471879,64441.78150666811,1167.6817824881675,8,True,True,True,True
