scenario_id,arrival_rate_mean,res_Pharmacist_amount,res_Pharmacist_cost,res_Technician_amount,res_Technician_cost,res_Pharmacy_Information_System_amount,res_Pharmacy_Information_System_cost,el_sid-532DCBA6-2EA6-435D-AA1E-8B5115299C25_duration,el_sid-582150C6-EBEA-4A55-8E1D-7F0CA0B8CA54_duration,el_sid-2A37B8CB-663C-4265-839A-282F772E84CD_duration,el_sid-E0879ACC-9536-498C-BA79-DA8902BE9B34_duration,el_sid-4AE2ED27-9C67-481A-9168-772F2443AC40_duration,el_sid-C12EBC64-C7FC-447C-B752-63144C613AE3_duration,el_sid-5C5825C2-B65C-45BE-A3ED-994F57BB36F6_duration,el_sid-6476CFCF-4619-47E1-AAB6-E759EBBCFA19_duration,el_sid-4C7E683B-8A7A-4FC5-9BFE-7E06CB00DD9A_duration,el_sid-B3B7EE72-DC71-4E7F-8294-7D1D0931D128_duration,el_sid-A8BB4918-B634-4771-B746-709A2319BB3A_duration,el_sid-8B110648-DDB2-4073-B0E5-58F8A11C3BC1_duration,el_sid-780ADF48-2A4E-474C-949B-400E8E093FAB_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time
0,1720.24,8,21.87,5,13.04,3,23.17,100.44,23.12,23.64,48.69,660.16,463.75,663.8,46.11,38.63,6.61,105.55,4340.6,147.59,697.5152927778523,29.537200089242017,9286.65879310537,2514.6287366826573,20.03,2.1341617709645315
1,1460.08,12,31.62,15,71.76,4,12.89,128.29,23.31,4.58,183.61,327.73,248.81,204.45,37.4,28.53,9.89,147.57,6919.41,58.89,781.4333357008768,85.67890975454249,11093.923104123498,2343.729863099812,23.84,2.191443415291447
2,939.89,2,94.94,5,17.79,6,19.3,47.68,14.66,17.81,85.82,392.56,309.08,729.48,55.03,23.8,14.73,121.72,8427.08,111.41,366.15165146993536,37.72817827482748,10192.422814807063,1800.031517514356,20.1,2.1343747458109497
3,574.06,3,93.72,4,48.68,1,13.1,84.36,29.14,6.39,178.22,391.3,467.87,299.05,52.86,30.44,24.44,63.56,5863.83,121.43,512.9217874542549,43.81575742387197,6623.724373173123,1325.7386295023305,25.48,2.626515916301643
4,2356.61,14,110.26,8,17.09,7,11.91,125.04,33.46,15.42,168.24,391.21,592.01,730.43,70.53,50.36,23.8,40.81,5171.77,144.78,531.3231310743699,101.12933210233469,9891.938401282927,2986.8692807226425,14.46,1.6417531895365804
5,2069.6,1,66.7,13,30.01,15,12.05,75.47,7.54,24.98,107.1,394.02,548.43,367.21,43.06,15.83,9.7,32.09,8017.87,136.83,226.5966355008654,29.41926722478112,8296.497689691374,1479.651320958287,14.05,0.8804842561071297
6,1514.84,8,52.88,6,35.59,7,17.29,108.96,27.42,6.58,262.25,125.6,512.81,150.29,25.07,39.25,6.57,86.66,5521.32,133.14,562.7572944135846,60.99487689774054,8467.18485151192,2053.917094916236,21.43,2.0313452774857446
7,1695.57,11,91.3,14,26.19,1,22.34,24.66,31.11,13.83,118.16,280.57,350.29,747.17,61.94,74.3,7.36,29.54,5332.56,139.56,920.0974318099422,80.54263938879282,10110.441731460569,2303.324186656149,20.5,2.176550880952186
8,1075.78,4,48.12,15,61.68,10,12.21,79.17,9.37,14.06,112.8,236.38,506.17,281.23,49.23,52.75,7.15,59.86,2812.55,73.56,664.9413870265735,64.42687904637141,5347.2402022076185,1650.8465887931918,28.31,1.9781380899801468
9,2205.25,15,75.0,5,60.98,10,23.22,132.41,6.84,13.18,64.42,123.54,591.58,318.83,56.44,58.67,20.43,148.27,8340.84,93.87,767.1018665030092,77.5645386459223,11574.474461364687,2454.418165213277,15.64,1.7204650534085255
